"Date","Package","Title","Packages-VM","Packages-MC","Packages-R","Data","Sport","Gender","Category","Statistical_methodology","Metodhology_type","Tutorial","Creation_date","version_first","Date_last","Version_last","R_journal","JQAS","Citation","Category","Creator's Country","Creator's gender","year_creation","year_updated"
2018-08-24,"accelerometry","Functions for Processing Accelerometer Data","No","No","Yes","Yes","Physical activity","Both","NS","Yes","Processing","Yes",2013-08-04,"1.0",2018-08-24,"3.1.2","Yes","No","Dane R. Van Domelen (2018). accelerometry: Functions for Processing Accelerometer

  Data. R package version 3.1.2. https://CRAN.R-project.org/package=accelerometry","Sports technology","United States of America","Male",2013,2018
2018-08-24,"mvglmmRank","Multivariate Generalized Linear Mixed Models for Ranking Sports Teams","Yes","Yes","Yes","Yes","American Football/Basketball","Male","Professional","Yes","Modeling/prediction","No",2014-07-10,"1.0-2",2018-08-24,"1.2-2","No","No","Andrew T. Karl and Jennifer Broatch (2018). mvglmmRank: Multivariate Generalized

  Linear Mixed Models for Ranking Sports Teams. R package version 1.2-2.

  https://CRAN.R-project.org/package=mvglmmRank","Sports technology","United States of America","Male",2014,2018
2018-06-13,"ROpenDota","Access OpenDota Services in R","No","No","Yes","No","Dota2","Male","Professional","No","Scraping","No",2017-05-04,"0.1.0",2018-06-13,"0.1.2","No","No","Rosdyana Kusuma (2018). ROpenDota: Access OpenDota Services in R. R package

  version 0.1.2. https://CRAN.R-project.org/package=ROpenDota","eSports","Taipei","Male",2017,2018
2018-05-11,"Observation","Collect and Process Physical Activity Direct Observation Data","Doubt","Yes","Yes","Yes","Physical activity","Both","NS","No","Scraping","Yes",2018-05-11,"0.2.0",2018-05-11,"0.2.0","No","No","Paul R. Hibbing (2018). Observation: Collect and Process Physical Activity Direct

  Observation Data. URL https://github.com/paulhibbing/Observation/.","Movement integration","United States of America","Male",2018,2018
2018-03-16,"mlbstats","Major League Baseball Player Statistics Calculator","Yes","No","Yes","No","Baseball","Male","Professional","Yes","Compute","No",2018-03-16,"0.1.0",2018-03-16,"0.1.0","No","No","Philip D. Waggoner (2018). mlbstats: Major League Baseball Player Statistics

  Calculator. R package version 0.1.0. https://CRAN.R-project.org/package=mlbstats","Sports performance analysis","United States of America","Male",2018,2018
2017-12-18,"SpatialBall","Spatial NBA Visualization and Analysis","Yes","Yes","Yes","Yes","Basketball","Male","Professional","Yes","Compute/visualization","Yes",2017-12-18,"0.1.0",2017-12-18,"0.1.0","No","No","Derek Corcoran (2017). SpatialBall: Spatial NBA Visualization and Analysis. R

  package version 0.1.0. https://CRAN.R-project.org/package=SpatialBall","Sports performance analysis","Chile","Male",2017,2017
2017-09-11,"opendotaR","Interface for OpenDota API","No","No","Yes","No","Dota2","Male","Professional","No","Scraping/preprocessing","No",2017-09-11,"0.1.4",2017-09-11,"0.1.4","No","No","Kari Gunnarsson (2017). opendotaR: Interface for OpenDota API. R package version

  0.1.4. https://CRAN.R-project.org/package=opendotaR","eSports","Hong Kong","Male",2017,2017
2017-06-15,"baseballDBR","Sabermetrics and Advanced Baseball Statistics","Yes","Yes","Yes","Yes","Baseball","Male","Professional","Yes","Compute","Yes",2017-06-15,"0.1.2",2017-06-15,"0.1.2","No","No","Kris Eberwein (2017). baseballDBR: Sabermetrics and Advanced Baseball Statistics.

  R package version 0.1.2. https://CRAN.R-project.org/package=baseballDBR","Sports performance analysis","United States of America","Male",2017,2017
2017-03-08,"NHLData","Scores for Every Season Since the Founding of the NHL in 1917","Yes","No","Yes","Yes","Hockey","Male","Professional","No","Scraping","No",2017-03-08,"1.0.0",2017-03-08,"1.0.0","No","No","D. Lukke Sweet (2017). NHLData: Scores for Every Season Since the Founding of the

  NHL in 1917. R package version 1.0.0. https://CRAN.R-project.org/package=NHLData","Sports performance analysis","NA","Male",2017,2017
2017-02-20,"colorr","Color Palettes for EPL, MLB, NBA, NHL, and NFL Teams","Doubt","Yes","Yes","No","Football/Baseball/Basketball/Hockey/American Football","Male","Professional","No","Scraping","No",2017-02-20,"1.0.0",2017-02-20,"1.0.0","No","No","Charles Crabtree (2017). colorr: Color Palettes for EPL, MLB, NBA, NHL, and NFL

  Teams. R package version 1.0.0. https://CRAN.R-project.org/package=colorr","Sports technology","United States of America","Male",2017,2017
2017-02-20,"pawacc","Physical Activity with Accelerometers","Yes","Yes","Yes","Yes","Physical activity","Both","NS","Yes","Processing/descriptive","No",2013-11-13,"1.1",2017-02-20,"1.2.2","No","No","Geraci M (2017). pawacc: Physical activity with accelerometers. R package version

  1.2.2. Available at https://CRAN.R-project.org/package=pawacc.","Sports technology","United States of America","Male",2013,2017
2016-12-16,"acc","Exploring Accelerometer Data","No","Yes","Yes","Yes","Physical activity","Both","NS","Yes","Processing/descriptive","No",2015-05-14,"1.0.2",2016-12-16,"1.3.3","No","No","Jaejoon Song and Matthew G. Cox (2016). acc: Exploring Accelerometer Data. R

  package version 1.3.3. https://CRAN.R-project.org/package=acc","Sports technology","United States of America","Male",2015,2016
2016-10-30,"RDota2","An R Steam API Client for Valve's Dota2","No","No","Yes","No","Dota2","Male","Professional","No","Scraping","Yes",2016-10-30,"0.1.6",2016-10-30,"0.1.6","No","Yes","Theo Boutaris (2016). RDota2: An R Steam API Client for Valve's Dota2. R package

  version 0.1.6. https://CRAN.R-project.org/package=RDota2","eSports","United Kingdom","Male",2016,2016
2016-08-30,"PASenseWear","Summarize Daily Physical Activity from 'SenseWear' Accelerometer Data","Yes","Yes","Yes","Yes","Physical activity","Both","NS","Yes","Descriptive","No",2016-08-30,"1.0",2016-08-30,"1.0","No","No","Yukun Zhang, Milad Yavari, Bob Haennel and Haocheng Li (2016). PASenseWear:

  Summarize Daily Physical Activity from 'SenseWear' Accelerometer Data. R package

  version 1.0. https://CRAN.R-project.org/package=PASenseWear","Sports technology","Canada","Female",2016,2016
2016-08-12,"bundesligR","All Final Tables of the Bundesliga","Yes","Yes","Yes","Yes","Football","Male","Professional","No","Scraping","No",2016-08-12,"0.1.0",2016-08-12,"0.1.0","No","No","Philipp Ottolinger (2016). bundesligR: All Final Tables of the Bundesliga. R

  package version 0.1.0. https://CRAN.R-project.org/package=bundesligR","Sports performance analysis","Deutschland","Male",2016,2016
2016-06-12,"engsoccerdata","English and European Soccer Results 1871-2016","Yes","Yes","Yes","Yes","Football","Male","Professional","No","Scraping","No",2016-06-12,"0.1.5",2016-06-12,"0.1.5","No","No","James Curley (2016). engsoccerdata: English and European Soccer Results 1871-2016.

  R package version 0.1.5. https://CRAN.R-project.org/package=engsoccerdata","Sports performance analysis","United States of America","Male",2016,2016
2016-02-29,"tmpm","Trauma Mortality Prediction Model","No","Doubt","Yes","Yes","Injury sports medicine","Both","NS","Yes","Prediction/modeling","No",2016-02-29,"1.0.3",2016-02-29,"1.0.3","No","No","Cody Moore (2016). tmpm: Trauma Mortality Prediction Model. R package version

  1.0.3. https://CRAN.R-project.org/package=tmpm","Athlete health","NA","Male",2016,2016
2016-01-18,"cycleRtools","Tools for Cycling Data Analysis","Yes","Yes","Yes","Yes","Cycling","Both","Professional","Yes","Processing/Compute","Yes",2015-09-22,"1.0.0",2016-01-18,"1.1.1","No","No","Jordan Mackie (2016). cycleRtools: Tools for Cycling Data Analysis. R package

  version 1.1.1. https://CRAN.R-project.org/package=cycleRtools","Sports performance analysis","United Kingdom","Male",2015,2016
2015-12-09,"pitchRx","Tools for Harnessing 'MLBAM' 'Gameday' Data and Visualizing 'pitchfx'","Yes","Yes","Yes","Yes","Baseball","Male","Professional","No","Scraping/visualization","No",2013-02-18,"0.1",2015-12-09,"1.8.2","Yes","No","Carson Sievert (2014). Taming PITCHf/x Data with {pitchRx} and {XML2R} The R

  Journal, 6(1). URL http://journal.r-project.org/archive/2014-1/sievert.pdf.","Sports performance analysis","United States of America","Male",2013,2015
2015-11-05,"rchess","Chess Move, Generation/Validation, Piece Placement/ Movement, and Check/Checkmate/Stalemate Detection","Doubt","No","Yes","Yes","Chess","Both","Professional","No","Scraping/processing","No",2015-11-05,"0.1",2015-11-05,"0.1","No","No","Joshua Kunst (2015). rchess: Chess Move, Generation/Validation, Piece Placement/

  Movement, and Check/Checkmate/Stalemate Detection. R package version 0.1.

  https://CRAN.R-project.org/package=rchess","Sports performance analysis","Chile","Male",2015,2015
2013-10-23,"fbRanks","Association Football (Soccer) Ranking via Poisson Regression","Yes","Yes","Yes","Yes","Football","Male","Amateur","Yes","Prediction/simulation","Yes",2013-03-29,"1.0",2013-10-23,"2.0","No","No","Eli Holmes (2013). fbRanks: Association Football (Soccer) Ranking via Poisson

  Regression. R package version 2.0. https://CRAN.R-project.org/package=fbRanks","Sports performance analysis","United States of America","Female",2013,2013
2013-04-07,"SportsAnalytics","Infrastructure for Sports Analytics","Yes","Yes","Yes","Yes","Football/Basketball","Male","Professional","No","Scraping/preprocessing","No",2011-10-12,"0.1",2013-04-07,"0.2","No","No","Manuel J. A. Eugster. SportsAnalytics: Infrastructure for Sports Analytics. R

  package version 0.1 http://soccer.r-forge.r-project.org/","Sports performance analysis","Austria","Male",2011,2013
2013-02-28,"heatex","Heat exchange calculations during physical activity","Doubt","No","Yes","Yes","Walking/Running/Cycling","Both","NS","No","Compute","No",2013-02-28,"1.0",2013-02-28,"1.0","No","No","Kerry Atkins (2013). heatex: Heat exchange calculations during physical activity..

  R package version 1.0. https://CRAN.R-project.org/package=heatex","Movement integration","Australia","Male",2013,2013
2011-01-20,"darts","Statistical Tools to Analyze Your Darts Game","No","No","Yes","No","Darts","Both","Amateur","Yes","Visualization/processing","No",2011-01-20,"1.0",2011-01-20,"1.0","No","No","Ryan Tibshirani (2011). darts: Statistical Tools to Analyze Your Darts Game. R

  package version 1.0. https://CRAN.R-project.org/package=darts","Sports performance analysis","United States of America","Male",2011,2011
